applicant_id,age,marital_status,education,employment_type,employment_years,annual_income,credit_history_length_years,num_late_payments_last_year,credit_utilization_pct,num_existing_loans,num_credit_inquiries_last_6m,loan_amount,loan_term_months,loan_purpose,monthly_debt_obligations,debt_to_income_ratio,default
APP008956,46,Single,Graduate,Salaried,1.2,120000.0,0.2,1,50.0,0,0,129788.0,36,Business,1655.0,0.166,1
APP011652,40,Married,Post Graduate,Salaried,11.8,120000.0,2.6,1,26.2,3,4,82202.0,12,Business,1471.0,0.147,0
APP002763,40,Single,High School,Self-Employed,1.4,120000.0,30.0,0,12.9,0,1,136573.0,48,Home Improvement,614.0,0.061,0
APP004166,30,Married,Graduate,Self-Employed,7.3,120000.0,0.8,0,39.1,1,0,82976.0,36,Home Improvement,3219.0,0.322,0
APP002480,50,Single,Graduate,Salaried,10.2,120000.0,14.3,0,10.4,0,1,201319.0,36,Medical,1126.0,0.113,0
APP002411,55,Married,High School,Self-Employed,6.4,136070.0,14.5,0,16.4,1,1,131801.0,24,Home Improvement,3240.0,0.286,0
APP012082,53,Married,High School,Self-Employed,6.3,120000.0,1.0,1,29.2,1,2,143840.0,60,Personal,3944.0,0.394,1
APP007189,50,Single,Graduate,Salaried,3.5,157638.0,3.1,1,73.8,2,3,95901.0,12,Education,2371.0,0.18,0
APP012109,38,Single,Graduate,Business Owner,,120000.0,3.9,0,29.0,4,0,118592.0,60,Auto,1994.0,0.199,0
APP004948,59,Married,Graduate,Self-Employed,9.6,120000.0,1.6,0,69.4,1,0,50000.0,12,Education,3189.0,0.319,1
APP006941,24,Married,High School,Self-Employed,3.8,120000.0,12.4,0,49.0,0,2,50000.0,60,Medical,1392.0,0.139,0
APP003853,57,Single,High School,Salaried,1.0,120000.0,0.8,0,16.6,3,1,149511.0,24,Business,5359.0,0.536,0
APP005899,26,Married,Graduate,Self-Employed,6.8,120000.0,16.4,2,73.9,3,1,159892.0,36,Auto,4343.0,0.434,1
APP010981,51,Married,High School,Salaried,1.7,120000.0,17.5,0,16.9,0,3,131852.0,24,Medical,562.0,0.056,0
APP012836,48,Single,Graduate,Self-Employed,5.8,120000.0,4.8,0,18.4,1,1,71966.0,60,Personal,3909.0,0.391,0
APP012337,26,Single,Graduate,Salaried,2.0,120000.0,2.6,1,12.2,0,1,50448.0,48,Education,4642.0,0.464,0
APP007673,46,Married,Graduate,Salaried,12.2,120000.0,0.3,0,56.5,0,0,143262.0,36,Business,4913.0,0.491,0
APP002373,37,Married,Graduate,Salaried,3.3,120000.0,1.8,1,28.9,1,2,61319.0,48,Personal,2051.0,0.205,0
APP014607,34,Single,Graduate,Self-Employed,0.6,120000.0,21.5,1,60.8,1,1,68124.0,36,Education,5122.0,0.512,0
APP004518,64,Single,Graduate,Salaried,2.3,120000.0,4.4,3,23.7,2,0,67767.0,48,Personal,5245.0,0.524,0
APP008732,49,Married,Graduate,Salaried,6.0,120000.0,10.3,0,45.4,3,2,153775.0,48,Education,3652.0,0.365,1
APP012367,54,Single,High School,Self-Employed,6.3,120000.0,0.6,0,13.6,2,2,91062.0,60,Medical,2110.0,0.211,0
APP005788,38,Married,Graduate,Salaried,1.5,120000.0,0.4,1,17.8,0,3,75669.0,48,Business,649.0,0.065,0
APP009322,29,Married,Graduate,Salaried,4.5,120000.0,18.8,1,48.0,0,0,63643.0,60,Personal,3629.0,0.363,0
APP010898,39,Divorced,Graduate,Business Owner,3.1,120000.0,2.7,1,18.7,1,0,153370.0,36,Auto,5293.0,0.529,0
APP007995,48,Married,Graduate,Self-Employed,3.0,120000.0,0.7,1,20.0,1,0,163771.0,36,Business,5402.0,0.54,0
APP008471,38,Married,Post Graduate,Salaried,2.7,120000.0,24.1,2,36.7,0,0,64517.0,48,Business,2225.0,0.222,0
APP006549,39,Married,Graduate,Salaried,0.3,120000.0,11.6,1,27.0,1,0,141573.0,12,Business,5291.0,0.529,0
APP008716,52,Married,Graduate,Self-Employed,18.0,120000.0,0.4,1,38.7,0,2,134016.0,60,Business,4221.0,0.422,0
APP007291,50,Married,High School,Salaried,6.3,120000.0,1.2,3,38.2,4,0,83863.0,60,Medical,3706.0,0.371,0
APP005885,57,Married,Graduate,Salaried,4.0,120000.0,6.9,0,62.5,2,3,380426.0,24,Medical,2543.0,0.254,0
APP014862,36,Single,High School,Salaried,26.4,120000.0,12.0,0,42.6,1,0,216663.0,48,Business,2834.0,0.283,0
APP003648,60,Married,Graduate,Business Owner,8.6,120000.0,5.7,1,11.1,5,1,201895.0,36,Home Improvement,4217.0,0.422,1
APP000155,48,Single,Graduate,Self-Employed,22.7,120000.0,7.6,1,79.0,1,1,85018.0,48,Education,2642.0,0.264,0
APP005558,56,Married,Graduate,Self-Employed,4.7,120000.0,13.7,0,60.3,1,2,50000.0,24,Auto,3497.0,0.35,0
APP010948,33,Married,Graduate,Salaried,20.6,120000.0,2.0,0,80.2,2,0,68899.0,24,Home Improvement,3856.0,0.386,0
APP001527,60,Married,Graduate,Business Owner,5.7,120000.0,1.7,2,21.3,0,1,94198.0,48,Personal,4477.0,0.448,0
APP003611,38,Single,Post Graduate,Business Owner,,120000.0,4.1,0,,1,0,177697.0,36,Auto,1657.0,0.166,0
APP006086,26,Divorced,High School,Salaried,3.6,120000.0,2.2,1,66.6,0,1,50000.0,48,Personal,5025.0,0.502,0
APP012850,56,Divorced,High School,Salaried,1.1,120000.0,5.5,1,23.4,1,0,93472.0,48,Auto,1988.0,0.199,0
APP004668,31,Married,Graduate,Salaried,1.6,120000.0,1.5,0,7.3,2,2,80735.0,24,Home Improvement,4543.0,0.454,0
APP008618,53,Single,Graduate,Self-Employed,0.8,120000.0,2.7,1,76.4,1,1,169752.0,36,Education,1034.0,0.103,0
APP002505,32,Single,High School,Salaried,1.0,120000.0,21.2,1,10.7,3,0,169035.0,12,Personal,1471.0,0.147,0
APP012240,54,Single,Post Graduate,Salaried,0.4,120000.0,13.1,2,25.2,2,1,157976.0,60,Auto,1252.0,0.125,0
APP011200,53,Single,Graduate,Salaried,17.8,120000.0,4.1,0,26.0,0,1,68037.0,48,Auto,567.0,0.057,0
APP006420,47,Divorced,Post Graduate,Salaried,7.9,120000.0,0.3,1,19.7,2,0,104197.0,24,Personal,1629.0,0.163,0
APP011830,52,Married,High School,Salaried,9.7,120000.0,4.0,0,48.3,3,0,50000.0,60,Education,2272.0,0.227,0
APP005052,47,Single,Graduate,Business Owner,4.3,120000.0,5.5,0,35.1,2,2,132516.0,24,Education,4934.0,0.493,0
APP008665,32,Married,High School,Business Owner,,120000.0,8.2,1,,3,2,196058.0,36,Medical,4334.0,0.433,1
APP013379,22,Married,High School,Salaried,2.6,120000.0,8.2,2,12.6,2,2,75626.0,36,Education,5080.0,0.508,0
APP002837,47,Single,High School,Self-Employed,0.1,120000.0,6.7,1,52.6,0,1,245934.0,60,Business,4074.0,0.407,0
APP006907,45,Single,High School,Self-Employed,24.2,120000.0,6.7,0,30.9,1,0,175746.0,36,Personal,4219.0,0.422,0
APP004552,31,Single,Graduate,Business Owner,2.6,120000.0,16.8,0,14.4,1,0,50000.0,24,Education,2817.0,0.282,0
APP008624,30,Married,High School,Salaried,0.4,120000.0,0.9,3,31.7,0,1,96147.0,60,Auto,2420.0,0.242,0
APP003040,31,Single,High School,Self-Employed,,,,1,,0,0,108865.0,24,Business,1932.0,0.193,1
APP012906,27,Married,High School,Salaried,4.5,120000.0,0.5,2,43.1,2,1,79888.0,24,Home Improvement,2709.0,0.271,1
APP002751,38,Single,High School,Salaried,0.4,120000.0,0.1,1,19.8,0,1,59681.0,60,Education,766.0,0.077,0
APP004043,37,Married,High School,Salaried,7.3,120000.0,9.1,1,52.1,1,1,122770.0,24,Medical,680.0,0.068,0
APP003886,40,Single,High School,Salaried,3.0,120000.0,3.4,3,16.8,1,0,97606.0,48,Home Improvement,2831.0,0.283,0
APP006118,44,Married,Graduate,Salaried,11.3,120000.0,0.3,1,51.9,5,2,184941.0,36,Home Improvement,4926.0,0.493,0
APP003156,31,Single,Graduate,Self-Employed,6.0,120000.0,7.4,0,11.4,0,0,54011.0,60,Auto,2868.0,0.287,0
APP009717,30,Married,High School,Business Owner,3.9,120000.0,1.0,0,53.4,0,2,243433.0,60,Business,2932.0,0.293,1
APP010193,24,Single,Graduate,Salaried,4.8,155356.0,16.9,1,50.1,1,2,171209.0,48,Personal,709.0,0.055,0
APP008703,41,Married,Graduate,Self-Employed,9.0,120000.0,15.0,3,43.7,0,1,164926.0,24,Personal,3264.0,0.326,1
APP010462,36,Married,Post Graduate,Salaried,9.7,120000.0,4.6,3,10.0,0,1,86768.0,48,Personal,4324.0,0.432,0
APP003664,37,Married,High School,Self-Employed,3.6,120000.0,2.6,0,14.3,0,2,164775.0,36,Medical,1719.0,0.172,0
APP006857,41,Single,Graduate,Self-Employed,,120000.0,25.4,0,,2,2,291317.0,36,Home Improvement,3031.0,0.303,0
APP000022,58,Single,High School,Salaried,0.8,120000.0,1.8,1,25.7,0,2,50000.0,36,Education,2314.0,0.231,0
APP012293,21,Single,Graduate,Self-Employed,6.4,120000.0,0.4,1,30.3,4,1,108285.0,48,Home Improvement,2864.0,0.286,0
APP002048,63,Married,Post Graduate,Business Owner,0.4,120000.0,14.4,1,28.1,1,0,126153.0,36,Auto,881.0,0.088,0
APP000101,53,Married,High School,Salaried,6.2,120000.0,16.7,0,33.1,4,4,164907.0,36,Business,834.0,0.083,0
APP013348,32,Married,Post Graduate,Salaried,4.8,135264.0,15.8,1,32.2,1,3,61510.0,36,Business,5014.0,0.445,0
APP008143,57,Single,Graduate,Salaried,11.3,120000.0,15.6,0,62.1,2,1,61657.0,60,Home Improvement,4213.0,0.421,0
APP011773,23,Single,Graduate,Self-Employed,1.5,120000.0,18.6,2,61.2,2,1,134179.0,36,Business,4138.0,0.414,0
APP007188,41,Single,Graduate,Business Owner,2.6,120000.0,1.3,0,25.4,1,1,98783.0,36,Education,746.0,0.075,0
APP008123,32,Single,High School,Self-Employed,1.0,120000.0,12.0,0,61.9,4,3,101181.0,36,Education,4929.0,0.493,0
APP007040,54,Married,High School,Salaried,6.7,120000.0,9.3,1,42.7,2,1,62382.0,36,Personal,3169.0,0.317,0
APP012801,45,Single,Graduate,Salaried,1.0,120000.0,4.4,2,44.8,0,2,80235.0,60,Medical,4429.0,0.443,1
APP011118,46,Married,Post Graduate,Salaried,1.3,120000.0,7.1,1,41.2,1,2,94807.0,48,Business,2147.0,0.215,0
APP008632,61,Single,Graduate,Business Owner,4.1,120000.0,1.8,1,12.9,3,0,154531.0,48,Personal,4047.0,0.405,0
APP007526,36,Married,High School,Self-Employed,3.6,120000.0,1.4,0,22.0,3,1,57734.0,48,Auto,598.0,0.06,0
APP009933,63,Married,Graduate,Salaried,1.8,120000.0,2.9,0,59.9,2,0,89393.0,48,Education,1938.0,0.194,0
APP012199,24,Single,High School,Salaried,11.2,192283.0,2.3,0,68.7,0,0,155961.0,60,Home Improvement,2606.0,0.163,0
APP004934,43,Single,High School,Salaried,0.4,120000.0,18.0,1,48.4,0,1,50000.0,36,Medical,5065.0,0.506,1
APP003636,44,Married,High School,Salaried,3.3,120000.0,1.2,1,44.8,1,0,79531.0,24,Business,5242.0,0.524,0
APP008920,49,Divorced,High School,Salaried,7.4,120000.0,4.7,0,79.3,1,1,113714.0,48,Personal,2962.0,0.296,1
APP002855,39,Married,Post Graduate,Self-Employed,8.3,120000.0,24.0,1,31.5,2,1,108661.0,36,Home Improvement,2963.0,0.296,0
APP012918,38,Married,Post Graduate,Self-Employed,5.2,120000.0,1.7,1,33.0,4,1,238902.0,24,Medical,1782.0,0.178,0
APP013621,32,Single,Post Graduate,Business Owner,1.1,120000.0,15.5,0,79.5,0,1,97530.0,24,Home Improvement,4886.0,0.489,0
APP005250,63,Single,Graduate,Self-Employed,25.6,120000.0,0.6,1,19.0,0,2,96246.0,24,Auto,5030.0,0.503,0
APP007669,29,Single,Post Graduate,Salaried,2.6,120000.0,2.2,3,12.8,1,0,77661.0,24,Personal,3648.0,0.365,1
APP002558,33,Single,High School,Self-Employed,0.9,120000.0,6.2,0,48.3,2,1,208620.0,36,Personal,3860.0,0.386,1
APP014565,42,Married,Graduate,Salaried,8.3,120000.0,0.4,2,20.0,2,0,112817.0,24,Education,3104.0,0.31,0
APP008033,42,Single,Graduate,Salaried,6.2,120000.0,1.6,0,28.4,0,0,50000.0,48,Personal,3803.0,0.38,1
APP003254,43,Married,High School,Salaried,6.4,120000.0,10.0,0,57.9,0,0,88872.0,24,Personal,574.0,0.057,0
APP002533,41,Single,Graduate,Salaried,5.8,120000.0,1.6,1,77.6,3,0,53610.0,36,Personal,3418.0,0.342,0
APP003571,39,Married,High School,Business Owner,0.9,120000.0,0.7,0,47.9,0,2,123668.0,24,Personal,4554.0,0.455,0
APP009196,42,Single,Graduate,Salaried,8.2,120000.0,2.2,0,23.3,2,0,149093.0,48,Business,2858.0,0.286,0
APP002087,27,Single,Post Graduate,Salaried,2.2,120000.0,2.0,1,56.8,0,0,67836.0,36,Home Improvement,2746.0,0.275,0
APP011284,22,Married,Graduate,Self-Employed,3.7,120000.0,2.5,1,83.8,0,1,90388.0,60,Business,3233.0,0.323,1
APP010996,41,Single,Post Graduate,Business Owner,0.6,120000.0,6.9,1,59.9,0,2,59347.0,36,Auto,512.0,0.051,0
APP001321,63,Married,High School,Self-Employed,2.3,120000.0,7.3,1,26.3,1,0,128451.0,36,Medical,1259.0,0.126,0
APP013225,46,Single,Graduate,Self-Employed,4.7,129508.0,2.6,1,26.0,1,2,137518.0,24,Auto,3984.0,0.369,0
APP003967,61,Single,High School,Salaried,3.9,120000.0,1.7,0,63.5,1,1,146955.0,36,Home Improvement,1446.0,0.145,0
APP001290,49,Single,Post Graduate,Salaried,3.2,120000.0,6.5,0,52.8,1,0,131875.0,24,Medical,4067.0,0.407,1
APP009325,21,Married,Graduate,Self-Employed,2.0,120000.0,11.2,0,31.5,2,0,141022.0,24,Education,1212.0,0.121,0
APP012586,25,Married,High School,Salaried,0.0,120000.0,1.4,0,35.3,0,0,82732.0,48,Medical,1307.0,0.131,1
APP009757,50,Single,Graduate,Salaried,2.0,120000.0,1.8,0,67.0,4,2,82207.0,48,Home Improvement,2069.0,0.207,0
APP007885,62,Single,Graduate,Salaried,5.1,120000.0,11.3,1,50.1,2,0,127010.0,48,Auto,4854.0,0.485,0
APP010508,56,Married,High School,Salaried,0.6,120000.0,3.2,1,43.2,1,0,60394.0,24,Business,1713.0,0.171,1
APP013106,31,Married,Graduate,Salaried,0.9,120000.0,6.7,0,24.9,3,3,50000.0,24,Home Improvement,3076.0,0.308,0
APP009556,40,Single,Post Graduate,Salaried,2.8,120000.0,12.1,2,60.8,0,0,108737.0,36,Education,716.0,0.072,0
APP009994,49,Married,Graduate,Self-Employed,0.4,120000.0,0.4,0,39.9,2,0,134218.0,24,Personal,2587.0,0.259,0
APP008906,28,Divorced,Post Graduate,Business Owner,2.5,120000.0,15.3,1,76.3,2,1,64523.0,36,Auto,1204.0,0.12,1
APP006808,41,Married,Graduate,Salaried,4.3,120000.0,9.9,0,46.4,2,1,166361.0,36,Home Improvement,5090.0,0.509,0
APP010638,36,Single,Graduate,Salaried,1.0,120000.0,5.3,0,33.8,1,1,88141.0,36,Education,1555.0,0.156,0
APP003731,64,Divorced,Post Graduate,Salaried,0.2,120000.0,2.5,1,24.0,2,1,176971.0,12,Medical,4986.0,0.499,1
APP010344,57,Single,Post Graduate,Self-Employed,0.5,120000.0,12.4,1,24.2,0,2,90616.0,48,Medical,4809.0,0.481,1
APP011520,61,Married,Graduate,Self-Employed,16.6,120000.0,3.4,1,65.8,0,0,87870.0,48,Home Improvement,4259.0,0.426,1
APP011657,41,Single,Graduate,Salaried,28.6,120000.0,0.3,1,22.9,2,1,175146.0,48,Medical,987.0,0.099,1
APP014633,60,Divorced,Post Graduate,Self-Employed,0.3,120000.0,2.3,0,56.8,2,3,121429.0,12,Personal,3209.0,0.321,0
APP002767,41,Divorced,Post Graduate,Salaried,0.8,120000.0,19.3,0,22.6,1,0,79451.0,48,Medical,4119.0,0.412,0
APP002795,48,Single,High School,Salaried,10.2,120000.0,4.5,0,54.2,0,1,295604.0,36,Home Improvement,5439.0,0.544,1
APP009720,38,Married,Graduate,Salaried,17.0,120000.0,1.4,1,26.9,2,0,55341.0,60,Home Improvement,3523.0,0.352,0
APP008091,52,Divorced,Graduate,Salaried,2.6,120000.0,2.8,1,87.0,2,1,50000.0,36,Auto,5064.0,0.506,1
APP013260,40,Single,Graduate,Salaried,3.2,120000.0,1.4,1,18.6,2,2,51047.0,24,Medical,4889.0,0.489,0
APP012070,25,Single,Graduate,Salaried,0.9,120000.0,3.2,2,24.1,1,2,94599.0,12,Medical,4999.0,0.5,0
APP004162,55,Married,Post Graduate,Self-Employed,0.4,120000.0,0.1,1,65.7,1,1,78820.0,36,Personal,1007.0,0.101,0
APP000904,35,Single,Graduate,Salaried,1.9,120000.0,15.6,0,47.7,0,0,158681.0,24,Home Improvement,5352.0,0.535,1
APP012053,40,Single,Graduate,Salaried,10.0,120000.0,1.1,1,51.8,1,3,50000.0,24,Auto,652.0,0.065,1
APP006720,36,Married,Graduate,Salaried,5.3,120000.0,3.4,1,35.6,3,1,95758.0,48,Business,3436.0,0.344,1
APP008221,46,Married,Graduate,Self-Employed,7.7,120000.0,5.6,1,57.9,3,0,124165.0,24,Personal,1469.0,0.147,0
APP011608,27,Single,Graduate,Salaried,6.8,120000.0,7.6,1,28.3,0,0,249819.0,60,Medical,1594.0,0.159,0
APP002412,31,Married,Graduate,Salaried,0.2,120000.0,1.7,1,19.3,0,1,102913.0,24,Business,5303.0,0.53,0
APP011153,25,Single,Post Graduate,Salaried,4.7,120000.0,15.0,1,46.8,0,1,50000.0,36,Education,4192.0,0.419,0
APP013857,41,Married,High School,Salaried,,120000.0,7.4,0,,0,0,171144.0,36,Personal,4402.0,0.44,0
APP007895,29,Divorced,High School,Self-Employed,1.4,120000.0,3.3,1,75.4,0,0,136034.0,36,Medical,3879.0,0.388,0
APP008608,60,Married,Post Graduate,Salaried,10.6,120000.0,10.6,1,17.7,0,0,224823.0,24,Medical,4642.0,0.464,0
APP009754,42,Married,Graduate,Self-Employed,19.8,120000.0,10.1,1,9.0,1,1,94715.0,48,Personal,5410.0,0.541,0
APP003637,28,Married,Post Graduate,Salaried,0.2,120000.0,4.2,1,68.1,1,2,112284.0,60,Auto,4548.0,0.455,1
APP008097,51,Married,Post Graduate,Business Owner,2.0,120000.0,9.1,1,44.6,2,1,63841.0,60,Auto,3710.0,0.371,0
APP002085,50,Married,High School,Business Owner,1.5,120000.0,16.1,1,48.1,0,2,365343.0,24,Auto,4299.0,0.43,0
APP014240,41,Divorced,Post Graduate,Salaried,2.4,133262.0,2.4,1,40.7,2,1,50000.0,60,Medical,1661.0,0.15,0
APP004299,48,Single,Post Graduate,Salaried,15.5,120000.0,10.2,1,28.8,2,1,188560.0,48,Medical,5308.0,0.531,0
APP005139,64,Married,High School,Salaried,23.4,120000.0,0.4,0,39.8,0,1,218092.0,12,Home Improvement,1379.0,0.138,0
APP001292,31,Married,Graduate,Self-Employed,7.4,120000.0,0.2,0,50.7,2,2,50000.0,36,Personal,3272.0,0.327,0
APP014395,24,Single,Graduate,Salaried,13.7,120000.0,1.2,1,24.4,1,1,96579.0,60,Auto,4932.0,0.493,0
APP000379,52,Married,Graduate,Salaried,0.2,120000.0,6.3,1,2.2,2,0,82405.0,48,Education,2421.0,0.242,0
APP001749,58,Single,Post Graduate,Self-Employed,8.4,120000.0,0.2,0,53.9,0,1,96957.0,60,Personal,2413.0,0.241,0
APP006653,38,Single,Graduate,Salaried,0.6,120000.0,3.8,0,32.3,0,1,157904.0,36,Education,3299.0,0.33,0
APP005398,27,Divorced,Post Graduate,Business Owner,7.0,120000.0,1.5,1,18.1,0,2,50000.0,60,Medical,3828.0,0.383,0
APP010786,28,Single,Post Graduate,Salaried,9.1,120000.0,9.7,0,9.7,1,2,151670.0,12,Auto,4151.0,0.415,0
APP004376,37,Single,High School,Self-Employed,7.6,120000.0,0.5,1,43.4,0,3,50000.0,36,Business,4034.0,0.403,0
