age,employment_years,annual_income,credit_history_length_years,num_late_payments_last_year,credit_utilization_pct,num_existing_loans,num_credit_inquiries_last_6m,loan_amount,loan_term_months,monthly_debt_obligations,debt_to_income_ratio,loan_to_income_ratio,estimated_monthly_installment,high_risk_flag,marital_status_Married,marital_status_Single,education_High School,education_Post Graduate,employment_type_Salaried,employment_type_Self-Employed,loan_purpose_Business,loan_purpose_Education,loan_purpose_Home Improvement,loan_purpose_Medical,loan_purpose_Personal
40,12.1,120000.0,3.2,1,51.0,2,2,50239.0,24,2431.0,0.243,0.419,2093.0,0,True,False,False,False,True,False,False,False,False,False,False
42,1.8,120000.0,0.5,1,56.1,3,1,85210.0,12,2814.0,0.281,0.71,7101.0,0,True,False,False,False,True,False,False,False,False,False,True
55,0.2,120000.0,3.4,0,31.5,1,1,132264.0,48,1436.0,0.144,1.102,2756.0,0,False,True,True,False,False,True,False,True,False,False,False
52,7.6,120000.0,10.6,0,6.8,1,2,80474.0,12,4518.0,0.452,0.671,6706.0,0,True,False,True,False,True,False,False,False,False,True,False
57,5.8,120000.0,0.1,1,59.6,3,1,224851.0,48,4372.0,0.437,1.874,4684.0,0,False,True,False,True,False,True,False,False,True,False,False
45,1.2,120000.0,8.1,5,11.8,1,0,52779.0,36,3074.0,0.307,0.44,1466.0,1,True,False,False,True,True,False,False,False,False,True,False
46,3.1,120000.0,9.2,1,43.8,2,0,184620.0,60,878.0,0.088,1.538,3077.0,0,False,True,True,False,False,False,True,False,False,False,False
54,3.1,150180.0,2.8,1,45.0,4,1,84898.0,48,4739.0,0.379,0.565,1769.0,0,True,False,False,False,True,False,False,False,False,False,False
54,3.2,120000.0,0.8,0,63.7,1,0,50000.0,24,3665.0,0.366,0.417,2083.0,0,True,False,False,True,True,False,False,False,False,False,False
33,0.7,120000.0,10.3,1,49.7,2,0,97835.0,60,4913.0,0.491,0.815,1631.0,0,False,True,False,True,True,False,True,False,False,False,False
27,0.5,120000.0,13.2,0,29.6,1,3,105598.0,36,1484.0,0.148,0.88,2933.0,0,False,False,True,False,True,False,False,True,False,False,False
62,9.0,120000.0,17.6,2,25.1,1,0,78971.0,24,1419.0,0.142,0.658,3290.0,0,False,True,True,False,True,False,False,False,False,False,False
64,8.7,120000.0,6.0,0,13.9,0,0,50000.0,12,4164.0,0.416,0.417,4167.0,0,True,False,False,True,False,False,True,False,False,False,False
37,4.9,120000.0,9.3,0,74.2,1,1,85917.0,36,646.0,0.065,0.716,2387.0,0,True,False,False,False,True,False,False,False,True,False,False
54,0.7,120000.0,3.5,3,65.9,0,2,240678.0,60,883.0,0.088,2.006,4011.0,1,False,False,False,True,True,False,True,False,False,False,False
33,25.1,120000.0,23.9,2,49.8,1,2,65389.0,36,3692.0,0.369,0.545,1816.0,0,False,True,False,False,False,True,False,False,True,False,False
45,3.6,120000.0,8.7,1,14.3,2,1,59337.0,12,4118.0,0.412,0.494,4945.0,0,False,True,False,False,True,False,False,False,False,False,True
50,5.9,120000.0,4.3,1,9.8,4,2,124480.0,48,1591.0,0.159,1.037,2593.0,0,False,True,False,False,True,False,False,True,False,False,False
53,1.2,120000.0,4.5,1,35.7,0,0,85813.0,36,4211.0,0.421,0.715,2384.0,0,False,False,False,True,False,True,False,False,True,False,False
45,9.0,120000.0,11.3,1,5.8,1,0,69656.0,36,5385.0,0.538,0.58,1935.0,1,False,True,False,False,True,False,True,False,False,False,False
26,20.1,120000.0,16.5,0,52.0,0,0,53670.0,48,992.0,0.099,0.447,1118.0,0,False,True,False,False,True,False,False,False,True,False,False
50,6.3,120000.0,1.2,3,38.2,4,0,83863.0,60,3706.0,0.371,0.699,1398.0,1,True,False,True,False,True,False,False,False,False,True,False
62,2.6,143995.0,10.3,2,39.7,3,2,111041.0,48,2713.0,0.226,0.771,2313.0,0,False,True,False,False,False,True,False,False,False,False,False
33,1.3,120000.0,2.5,1,48.0,0,1,235142.0,60,598.0,0.06,1.96,3919.0,0,True,False,True,False,False,True,True,False,False,False,False
64,4.7,120000.0,1.8,0,13.1,0,2,61352.0,48,1365.0,0.136,0.511,1278.0,0,False,True,False,True,True,False,False,True,False,False,False
27,1.1,120000.0,4.6,2,19.5,3,0,50000.0,36,4180.0,0.418,0.417,1389.0,0,True,False,True,False,True,False,False,False,False,True,False
56,27.3,120000.0,4.6,1,44.2,2,0,130973.0,36,1286.0,0.129,1.091,3638.0,0,True,False,False,True,True,False,True,False,False,False,False
26,5.7,120000.0,3.7,0,44.0,1,1,90792.0,36,3156.0,0.316,0.757,2522.0,0,True,False,False,False,True,False,False,False,False,True,False
36,5.4,120000.0,8.3,3,34.1,3,0,110111.0,36,3540.0,0.354,0.918,3059.0,1,True,False,False,True,False,True,True,False,False,False,False
23,11.7,120000.0,0.2,0,54.9,2,1,85510.0,36,859.0,0.086,0.713,2375.0,0,True,False,True,False,False,True,False,False,False,False,True
43,0.7,120000.0,0.8,0,39.9,1,0,84444.0,12,5120.0,0.512,0.704,7037.0,1,False,True,False,True,True,False,False,False,True,False,False
29,5.3,120000.0,0.0,0,22.9,2,2,169147.0,36,4903.0,0.49,1.41,4699.0,0,False,True,True,False,True,False,False,True,False,False,False
59,16.7,120000.0,2.6,1,41.7,1,2,50000.0,60,3552.0,0.355,0.417,833.0,0,False,True,True,False,True,False,True,False,False,False,False
63,0.4,120000.0,0.6,0,54.8,3,1,67631.0,24,1111.0,0.111,0.564,2818.0,0,False,True,False,False,True,False,False,False,False,False,True
60,4.6,120000.0,16.3,0,52.4,1,0,96207.0,12,1472.0,0.147,0.802,8017.0,0,False,True,False,False,True,False,False,False,False,True,False
62,0.7,120000.0,6.8,0,57.2,2,0,58712.0,36,1240.0,0.124,0.489,1631.0,0,False,True,False,False,True,False,True,False,False,False,False
48,3.7,120000.0,4.7,3,27.9,1,1,116257.0,24,533.0,0.053,0.969,4844.0,1,False,False,False,True,True,False,False,False,False,True,False
26,0.1,120000.0,12.7,1,61.0,2,1,115272.0,48,1372.0,0.137,0.961,2402.0,0,False,True,True,False,False,True,True,False,False,False,False
54,1.6,120000.0,10.2,1,42.9,1,2,67010.0,60,5415.0,0.542,0.558,1117.0,1,True,False,False,True,False,True,False,False,False,False,True
57,6.8,120000.0,21.7,1,24.7,0,1,224024.0,36,1316.0,0.132,1.867,6223.0,0,False,False,False,False,True,False,False,False,False,False,True
40,0.5,162379.0,7.9,1,45.8,2,2,303450.0,36,4439.0,0.328,1.869,8429.0,0,True,False,True,False,False,False,False,True,False,False,False
57,0.2,120000.0,2.8,1,34.3,2,0,253122.0,24,2855.0,0.286,2.109,10547.0,0,False,True,True,False,False,False,False,False,False,True,False
62,2.2,120000.0,6.3,4,31.2,0,1,187432.0,60,1051.0,0.105,1.562,3124.0,1,True,False,False,False,True,False,False,False,False,False,True
25,1.5,120000.0,0.3,1,25.2,1,0,120073.0,48,5337.0,0.534,1.001,2502.0,1,True,False,False,False,True,False,False,False,False,False,True
58,6.6,120000.0,1.7,0,83.1,2,0,50000.0,36,3233.0,0.323,0.417,1389.0,1,False,True,True,False,True,False,False,True,False,False,False
33,5.7,120000.0,0.0,3,43.4,2,3,276122.0,24,1864.0,0.186,2.301,11505.0,1,True,False,False,True,False,True,True,False,False,False,False
39,11.0,120000.0,11.7,1,50.3,2,0,50000.0,24,1481.0,0.148,0.417,2083.0,0,False,True,False,False,False,False,False,False,False,False,False
29,5.1,120000.0,0.5,1,26.5,1,0,88433.0,24,3851.0,0.385,0.737,3685.0,0,True,False,False,True,True,False,False,False,False,False,False
52,7.5,120000.0,3.2,0,21.7,2,1,197178.0,48,3198.0,0.32,1.643,4108.0,0,True,False,False,False,True,False,True,False,False,False,False
59,1.5,120000.0,0.8,0,35.6,2,0,50000.0,36,1973.0,0.197,0.417,1389.0,0,True,False,False,False,True,False,False,True,False,False,False
48,13.6,120000.0,3.5,1,17.8,2,1,196791.0,48,2161.0,0.216,1.64,4100.0,0,False,True,False,True,True,False,False,False,False,False,False
48,6.4,120000.0,5.6,2,53.5,1,1,61828.0,36,2288.0,0.229,0.515,1717.0,0,False,True,False,True,True,False,False,False,False,False,True
40,2.4,120000.0,4.5,2,13.2,0,1,99578.0,24,3453.0,0.345,0.83,4149.0,0,True,False,False,False,True,False,False,False,True,False,False
57,14.9,120000.0,0.5,2,10.5,0,0,214303.0,36,2993.0,0.299,1.786,5953.0,0,False,True,False,False,True,False,False,True,False,False,False
49,9.9,120000.0,29.8,0,60.3,1,3,50000.0,48,1312.0,0.131,0.417,1042.0,0,False,True,False,False,True,False,False,False,False,False,True
52,1.5,120000.0,3.9,1,19.3,2,0,100363.0,12,2238.0,0.224,0.836,8364.0,0,False,True,False,True,False,False,False,False,False,False,False
36,2.7,120000.0,7.1,1,59.4,0,1,76210.0,48,2176.0,0.218,0.635,1588.0,0,True,False,False,False,False,False,False,True,False,False,False
58,1.6,120000.0,16.3,1,78.4,0,2,189956.0,60,1793.0,0.179,1.583,3166.0,1,True,False,True,False,True,False,False,False,True,False,False
60,0.8,120000.0,1.0,1,29.8,0,0,97438.0,24,2271.0,0.227,0.812,4060.0,0,False,True,False,False,False,True,False,False,True,False,False
43,0.2,120000.0,3.1,0,34.4,0,0,56780.0,36,1395.0,0.14,0.473,1577.0,0,True,False,True,False,True,False,False,False,False,False,True
22,7.8,120000.0,6.2,1,17.0,1,3,376072.0,60,2456.0,0.246,3.134,6268.0,0,True,False,True,False,True,False,False,False,True,False,False
22,1.8,120000.0,15.1,0,16.9,1,0,76130.0,60,4177.0,0.418,0.634,1269.0,0,True,False,False,False,False,True,False,True,False,False,False
54,0.8,120000.0,5.4,0,46.7,0,0,154586.0,24,3179.0,0.318,1.288,6441.0,0,True,False,True,False,True,False,False,True,False,False,False
52,1.7,120000.0,4.9,1,5.5,0,1,218358.0,24,3529.0,0.353,1.82,9098.0,0,True,False,False,False,True,False,False,True,False,False,False
29,1.1,120000.0,2.5,1,4.8,1,0,165845.0,36,4103.0,0.41,1.382,4607.0,0,False,True,False,False,False,True,False,False,True,False,False
54,4.6,120000.0,6.5,1,61.6,0,0,54001.0,60,2361.0,0.236,0.45,900.0,0,False,True,False,False,True,False,False,False,True,False,False
50,10.0,120000.0,1.6,1,49.3,4,0,81176.0,36,2734.0,0.273,0.676,2255.0,0,True,False,False,False,True,False,False,False,False,True,False
24,9.3,120000.0,8.2,1,52.3,1,2,355388.0,36,2332.0,0.233,2.962,9872.0,0,False,False,False,True,True,False,True,False,False,False,False
38,0.5,120000.0,8.6,0,24.9,1,2,103436.0,60,4807.0,0.481,0.862,1724.0,0,False,True,False,False,True,False,True,False,False,False,False
45,0.8,120000.0,0.5,0,55.2,3,4,144941.0,36,3350.0,0.335,1.208,4026.0,0,False,True,False,False,False,True,False,False,False,True,False
37,5.3,120000.0,4.9,0,49.1,2,1,59858.0,12,5495.0,0.55,0.499,4988.0,1,False,True,False,False,True,False,False,False,False,True,False
30,0.1,120000.0,0.3,1,21.3,2,1,95166.0,12,547.0,0.055,0.793,7930.0,0,True,False,True,False,True,False,False,False,False,False,False
48,3.4,120000.0,6.0,0,49.7,0,1,72774.0,12,4408.0,0.441,0.606,6064.0,0,True,False,False,True,False,True,False,False,True,False,False
45,4.6,120000.0,9.7,1,44.0,0,1,50000.0,60,3411.0,0.341,0.417,833.0,0,True,False,True,False,True,False,True,False,False,False,False
22,4.6,120000.0,0.6,0,40.7,3,1,62347.0,36,539.0,0.054,0.52,1732.0,0,False,True,False,False,False,True,False,False,False,False,False
53,3.5,120000.0,12.6,0,38.5,1,1,136673.0,12,3777.0,0.378,1.139,11389.0,0,False,True,True,False,False,True,True,False,False,False,False
40,3.7,120000.0,7.6,1,48.9,4,0,74560.0,36,3637.0,0.364,0.621,2071.0,0,True,False,True,False,False,True,True,False,False,False,False
42,5.4,120000.0,2.6,1,41.0,1,1,50000.0,36,4353.0,0.435,0.417,1389.0,0,True,False,True,False,False,True,False,False,False,False,True
31,2.5,120000.0,14.8,1,30.9,1,0,126150.0,48,3220.0,0.322,1.051,2628.0,0,False,True,False,False,True,False,False,False,False,False,False
42,5.2,120000.0,9.4,3,27.0,3,0,147742.0,60,5141.0,0.514,1.231,2462.0,1,True,False,False,False,False,True,False,False,False,True,False
23,7.8,125279.0,3.5,2,5.0,2,1,62317.0,12,2054.0,0.197,0.497,5193.0,0,True,False,True,False,False,True,False,True,False,False,False
24,4.1,120000.0,0.7,2,45.5,0,2,85702.0,36,1349.0,0.135,0.714,2381.0,0,False,False,False,False,True,False,False,False,True,False,False
51,1.7,120000.0,17.5,0,16.9,0,3,131852.0,24,562.0,0.056,1.099,5494.0,0,True,False,True,False,True,False,False,False,False,True,False
24,4.1,120000.0,6.9,0,30.1,1,1,133598.0,60,3115.0,0.312,1.113,2227.0,0,False,False,True,False,True,False,False,False,False,False,True
53,0.7,120000.0,18.0,1,46.7,0,1,173334.0,60,3127.0,0.313,1.444,2889.0,0,False,True,False,False,True,False,False,False,False,False,True
46,0.7,120000.0,18.5,2,71.0,1,1,209529.0,12,3003.0,0.3,1.746,17461.0,0,False,False,False,False,False,True,False,False,False,False,False
32,4.3,120000.0,4.5,0,65.9,3,0,117293.0,12,1006.0,0.101,0.977,9774.0,0,False,True,True,False,False,True,False,False,False,False,True
45,12.3,120000.0,5.0,0,18.4,1,1,113852.0,36,535.0,0.054,0.949,3163.0,0,False,True,False,True,True,False,False,False,True,False,False
39,0.0,120000.0,14.3,3,19.6,0,0,85543.0,24,4997.0,0.5,0.713,3564.0,1,False,True,True,False,True,False,False,False,False,False,False
58,6.1,120000.0,10.5,1,35.3,0,1,138693.0,12,3269.0,0.327,1.156,11558.0,0,False,True,False,False,True,False,False,False,False,False,True
49,19.1,120000.0,5.4,0,7.1,1,0,137434.0,36,1322.0,0.132,1.145,3818.0,0,True,False,False,False,True,False,False,True,False,False,False
42,2.2,120000.0,1.9,0,34.2,0,1,299562.0,60,2512.0,0.251,2.496,4993.0,0,False,True,True,False,True,False,False,False,True,False,False
54,0.1,120000.0,5.2,0,47.4,1,2,97263.0,60,4962.0,0.496,0.811,1621.0,0,True,False,False,False,True,False,True,False,False,False,False
58,2.2,120000.0,3.8,0,51.1,1,1,64055.0,36,5410.0,0.541,0.534,1779.0,1,False,True,True,False,True,False,False,False,False,False,False
63,3.7,120000.0,0.6,1,11.9,2,0,50000.0,60,2909.0,0.291,0.417,833.0,0,False,True,False,False,False,True,False,False,False,False,True
38,0.1,120000.0,6.9,0,34.5,1,0,385217.0,60,2561.0,0.256,3.21,6420.0,0,False,True,False,False,False,False,False,False,False,False,True
26,20.2,120000.0,11.4,1,43.2,0,1,275023.0,36,4477.0,0.448,2.292,7640.0,0,True,False,False,False,False,True,False,False,False,False,True
28,0.1,120000.0,0.0,0,46.0,4,0,116940.0,24,2267.0,0.227,0.974,4872.0,0,False,True,False,False,False,False,False,True,False,False,False
38,3.1,120000.0,11.0,0,51.0,3,0,70967.0,48,2041.0,0.204,0.591,1478.0,0,False,True,False,False,True,False,False,True,False,False,False
29,5.2,120000.0,1.8,0,45.0,2,2,98519.0,48,4847.0,0.485,0.821,2052.0,0,True,False,False,False,True,False,False,False,False,True,False
58,2.1,120000.0,8.2,0,50.7,0,2,90842.0,24,3903.0,0.39,0.757,3785.0,0,False,False,False,False,True,False,True,False,False,False,False
50,4.7,120000.0,15.4,0,68.5,0,0,50000.0,48,4215.0,0.422,0.417,1042.0,0,False,True,False,False,True,False,False,True,False,False,False
26,0.1,120000.0,18.7,0,32.0,2,1,148278.0,48,1822.0,0.182,1.236,3089.0,0,False,True,False,True,False,False,False,False,True,False,False
46,4.7,120000.0,7.6,1,44.9,0,0,65986.0,60,3112.0,0.311,0.55,1100.0,0,False,False,False,False,False,True,True,False,False,False,False
45,2.3,120000.0,13.3,1,22.0,0,0,91828.0,36,4806.0,0.481,0.765,2551.0,0,True,False,False,False,False,True,False,True,False,False,False
24,4.5,120000.0,5.6,2,54.1,0,1,88736.0,48,3875.0,0.388,0.739,1849.0,0,False,True,True,False,True,False,False,False,False,True,False
29,1.8,120000.0,2.2,2,33.5,1,1,68671.0,36,5143.0,0.514,0.572,1908.0,1,False,False,False,False,False,True,False,False,False,True,False
53,9.2,136672.0,2.6,1,28.9,1,1,97725.0,24,5292.0,0.465,0.715,4072.0,0,True,False,False,False,True,False,True,False,False,False,False
48,1.2,120000.0,0.3,2,66.5,1,2,71729.0,24,4423.0,0.442,0.598,2989.0,0,True,False,True,False,True,False,False,False,False,True,False
32,5.1,120000.0,1.5,0,51.3,0,3,111271.0,24,2686.0,0.269,0.927,4636.0,0,True,False,False,False,True,False,False,False,False,False,False
36,26.4,120000.0,12.0,0,42.6,1,0,216663.0,48,2834.0,0.283,1.806,4514.0,0,False,True,True,False,True,False,True,False,False,False,False
37,13.3,120000.0,0.5,0,67.5,0,1,170637.0,24,3465.0,0.346,1.422,7110.0,0,False,True,False,False,True,False,False,False,False,True,False
26,14.0,120000.0,4.2,1,18.7,2,1,100344.0,48,2187.0,0.219,0.836,2090.0,0,False,True,False,False,True,False,True,False,False,False,False
33,6.0,120000.0,1.4,1,14.9,2,2,129671.0,12,3830.0,0.383,1.081,10806.0,0,False,True,False,True,True,False,False,False,False,True,False
30,5.3,120000.0,0.8,1,54.4,4,1,150194.0,36,1810.0,0.181,1.252,4172.0,0,True,False,False,False,True,False,False,False,False,False,True
44,6.1,120000.0,7.6,1,14.5,1,2,54802.0,24,5286.0,0.529,0.457,2283.0,1,False,True,False,False,True,False,False,False,False,False,False
54,5.1,120000.0,1.8,0,65.5,0,2,115728.0,60,1698.0,0.17,0.964,1929.0,0,True,False,False,True,True,False,False,False,True,False,False
57,1.5,120000.0,0.1,0,16.0,1,0,69476.0,12,1252.0,0.125,0.579,5790.0,0,False,True,False,True,False,True,False,False,False,True,False
47,3.4,120000.0,4.5,1,37.2,1,0,168511.0,36,5259.0,0.526,1.404,4681.0,1,True,False,False,False,False,True,False,True,False,False,False
22,3.3,120000.0,15.1,1,37.0,2,0,74996.0,60,4452.0,0.445,0.625,1250.0,0,False,True,True,False,False,True,True,False,False,False,False
37,2.3,120000.0,1.1,0,20.0,0,1,72815.0,36,899.0,0.09,0.607,2023.0,0,True,False,True,False,False,True,False,False,False,False,True
58,13.8,120000.0,0.3,1,24.9,0,0,186706.0,36,2436.0,0.244,1.556,5186.0,0,True,False,True,False,False,True,False,False,True,False,False
26,1.4,120000.0,3.6,0,78.6,0,1,123469.0,24,4172.0,0.417,1.029,5145.0,1,False,True,False,False,True,False,False,False,False,False,False
45,9.7,120000.0,4.9,1,35.4,1,0,105000.0,24,1536.0,0.154,0.875,4375.0,0,True,False,False,True,True,False,True,False,False,False,False
37,1.0,212798.0,1.5,2,46.6,2,1,80494.0,48,3536.0,0.199,0.378,1677.0,0,True,False,False,True,False,True,False,True,False,False,False
43,6.4,120000.0,14.3,2,9.6,2,2,71817.0,48,750.0,0.075,0.598,1496.0,0,True,False,False,False,True,False,False,False,False,False,True
35,2.8,120000.0,7.8,0,32.6,0,2,132311.0,12,3219.0,0.322,1.103,11026.0,0,True,False,False,True,False,True,False,False,False,False,True
60,4.1,132810.0,0.2,0,83.3,1,1,50000.0,36,671.0,0.061,0.376,1389.0,1,False,True,True,False,False,False,False,False,True,False,False
27,10.2,120000.0,1.1,0,49.0,0,1,122897.0,48,5072.0,0.507,1.024,2560.0,1,False,True,True,False,True,False,False,True,False,False,False
45,0.6,120000.0,3.1,0,43.8,3,2,427459.0,36,1461.0,0.146,3.562,11874.0,0,False,True,True,False,False,True,False,True,False,False,False
44,3.7,120000.0,6.8,1,34.0,1,1,82472.0,36,3862.0,0.386,0.687,2291.0,0,False,False,True,False,False,False,False,False,False,False,True
25,2.7,328851.0,18.1,2,45.8,0,1,90847.0,60,11875.0,0.433,0.276,1514.0,0,False,False,True,False,True,False,False,True,False,False,False
52,5.1,120000.0,6.8,0,29.3,2,0,54605.0,24,1684.0,0.168,0.455,2275.0,0,False,True,False,True,False,True,False,False,False,False,False
61,4.9,120000.0,2.8,2,77.2,2,2,97439.0,36,1391.0,0.139,0.812,2707.0,1,True,False,False,True,True,False,False,False,False,True,False
48,2.1,120000.0,15.7,1,47.0,3,0,133077.0,36,4046.0,0.405,1.109,3697.0,0,True,False,False,False,False,True,False,False,False,False,False
51,21.0,120000.0,4.0,0,57.3,2,0,50000.0,12,3825.0,0.382,0.417,4167.0,0,False,True,True,False,True,False,False,False,False,False,True
53,1.2,120000.0,4.0,0,75.6,1,2,82737.0,48,3425.0,0.342,0.689,1724.0,1,True,False,False,True,True,False,True,False,False,False,False
46,2.8,120000.0,0.7,0,27.7,1,0,85514.0,36,1530.0,0.153,0.713,2375.0,0,False,True,True,False,True,False,False,False,False,True,False
24,13.4,120000.0,6.7,1,26.1,1,2,50000.0,48,2507.0,0.251,0.417,1042.0,0,False,True,False,False,False,True,False,True,False,False,False
44,3.5,120000.0,0.8,0,32.6,1,2,50000.0,48,2332.0,0.233,0.417,1042.0,0,True,False,False,False,False,True,False,True,False,False,False
44,2.3,120000.0,4.6,2,52.3,2,1,75691.0,24,5134.0,0.513,0.631,3154.0,1,False,False,True,False,True,False,False,False,False,True,False
59,9.8,120000.0,6.7,2,22.9,0,1,76557.0,36,1686.0,0.169,0.638,2127.0,0,False,True,False,False,True,False,True,False,False,False,False
23,0.2,120000.0,7.5,0,20.9,0,0,144681.0,60,4757.0,0.476,1.206,2411.0,0,True,False,False,False,False,True,False,False,False,False,True
