age,employment_years,annual_income,credit_history_length_years,num_late_payments_last_year,credit_utilization_pct,num_existing_loans,num_credit_inquiries_last_6m,loan_amount,loan_term_months,monthly_debt_obligations,debt_to_income_ratio,loan_to_income_ratio,estimated_monthly_installment,high_risk_flag,marital_status_Married,marital_status_Single,education_High School,education_Post Graduate,employment_type_Salaried,employment_type_Self-Employed,loan_purpose_Business,loan_purpose_Education,loan_purpose_Home Improvement,loan_purpose_Medical,loan_purpose_Personal,default_probability,actual_default,risk_score,risk_band,recommended_action
29,13.1,120000.0,0.6,0,23.7,1,0,144501.0,48,1721.0,0.172,1.204,3010.0,0,False,True,True,False,False,False,False,False,False,True,False,0.2515,0,749,Moderate Risk,Approve with conditions (higher rate / lower limit)
30,11.2,120000.0,9.0,1,82.6,1,1,50000.0,48,837.0,0.084,0.417,1042.0,1,True,False,False,False,True,False,False,False,False,False,True,0.5625,1,562,Very High Risk,Decline
44,1.0,120000.0,1.0,0,22.7,2,2,163619.0,60,5125.0,0.512,1.363,2727.0,1,False,True,False,False,False,True,False,False,True,False,False,0.5485,0,571,Very High Risk,Decline
22,3.5,120000.0,4.2,1,38.5,1,1,315773.0,48,1286.0,0.129,2.631,6579.0,0,False,True,False,False,True,False,False,True,False,False,False,0.4019,0,659,High Risk,Manual underwriter review
28,10.8,120000.0,2.8,2,21.1,0,1,356980.0,36,3765.0,0.376,2.975,9916.0,0,False,True,False,False,True,False,False,True,False,False,False,0.5809,0,551,Very High Risk,Decline
23,14.2,120000.0,1.5,0,15.3,1,0,352743.0,12,4848.0,0.485,2.94,29395.0,0,False,True,False,True,False,True,False,False,False,False,True,0.3111,0,713,High Risk,Manual underwriter review
40,1.2,120000.0,11.6,1,12.3,1,1,213320.0,36,508.0,0.051,1.778,5926.0,0,True,False,False,False,False,False,False,False,False,False,True,0.1579,0,805,Moderate Risk,Approve with conditions (higher rate / lower limit)
29,0.8,120000.0,7.8,0,22.7,1,0,192690.0,60,1600.0,0.16,1.606,3212.0,0,True,False,False,False,True,False,False,False,False,False,True,0.1544,0,807,Moderate Risk,Approve with conditions (higher rate / lower limit)
23,13.8,120000.0,2.4,1,39.8,1,1,130423.0,12,2698.0,0.27,1.087,10869.0,0,True,False,True,False,False,True,False,False,False,True,False,0.5334,1,580,Very High Risk,Decline
47,4.9,120000.0,1.9,1,50.0,1,2,94393.0,24,2177.0,0.218,0.787,3933.0,0,False,True,False,False,True,False,False,False,False,False,False,0.5761,0,554,Very High Risk,Decline
28,4.0,120000.0,2.8,0,7.0,2,0,69372.0,48,2880.0,0.288,0.578,1445.0,0,False,True,False,False,False,True,False,False,False,True,False,0.2287,0,763,Moderate Risk,Approve with conditions (higher rate / lower limit)
34,7.5,120000.0,2.8,1,27.0,1,0,82199.0,24,1292.0,0.129,0.685,3425.0,0,False,True,False,False,True,False,False,False,True,False,False,0.3106,0,714,High Risk,Manual underwriter review
64,0.6,120000.0,15.3,2,14.3,1,2,271150.0,60,1839.0,0.184,2.26,4519.0,0,False,True,False,False,True,False,False,False,False,False,False,0.3031,0,718,High Risk,Manual underwriter review
32,2.3,120000.0,4.5,0,47.1,1,0,112665.0,48,927.0,0.093,0.939,2347.0,0,True,False,True,False,False,True,False,False,False,False,False,0.2731,0,736,Moderate Risk,Approve with conditions (higher rate / lower limit)
23,0.2,120000.0,0.5,0,58.7,0,2,80087.0,24,2809.0,0.281,0.667,3337.0,0,False,True,True,False,True,False,False,True,False,False,False,0.5514,1,569,Very High Risk,Decline
53,0.4,120000.0,15.6,0,40.1,4,1,222216.0,36,1889.0,0.189,1.852,6173.0,0,True,False,True,False,True,False,False,True,False,False,False,0.2335,0,760,Moderate Risk,Approve with conditions (higher rate / lower limit)
56,2.7,120000.0,6.3,0,91.0,0,0,86994.0,36,4642.0,0.464,0.725,2416.0,1,False,True,True,False,False,True,False,False,False,True,False,0.7044,0,477,Very High Risk,Decline
46,0.8,120000.0,7.8,1,33.4,1,1,66219.0,36,2456.0,0.246,0.552,1839.0,0,True,False,False,False,True,False,False,False,False,False,True,0.3653,0,681,High Risk,Manual underwriter review
29,7.0,120000.0,9.2,1,23.5,1,1,90422.0,36,1063.0,0.106,0.754,2512.0,0,False,True,False,False,False,False,False,False,False,False,True,0.272,0,737,Moderate Risk,Approve with conditions (higher rate / lower limit)
28,5.6,120000.0,4.6,1,23.9,2,2,114991.0,36,4551.0,0.455,0.958,3194.0,0,True,False,False,False,True,False,True,False,False,False,False,0.5464,0,572,Very High Risk,Decline
64,2.8,120000.0,4.7,0,37.5,0,2,77892.0,24,4669.0,0.467,0.649,3246.0,0,True,False,False,False,True,False,False,True,False,False,False,0.4342,0,639,High Risk,Manual underwriter review
58,10.8,120000.0,3.1,0,18.7,0,0,353826.0,48,1945.0,0.194,2.949,7371.0,0,False,True,False,True,True,False,False,False,False,False,True,0.1544,0,807,Moderate Risk,Approve with conditions (higher rate / lower limit)
31,4.6,120000.0,6.3,2,29.4,1,1,100928.0,36,1249.0,0.125,0.841,2804.0,0,False,True,True,False,False,True,False,False,False,False,True,0.4967,0,602,High Risk,Manual underwriter review
36,1.1,120000.0,0.5,0,16.7,0,1,116291.0,60,5438.0,0.544,0.969,1938.0,1,False,True,True,False,False,True,True,False,False,False,False,0.4297,0,642,High Risk,Manual underwriter review
48,0.8,120000.0,23.0,1,49.6,0,0,65004.0,36,4531.0,0.453,0.542,1806.0,0,True,False,False,False,True,False,False,False,False,False,True,0.3431,0,694,High Risk,Manual underwriter review
63,0.6,120000.0,11.4,2,15.9,3,2,152450.0,36,3155.0,0.316,1.27,4235.0,0,False,True,False,False,True,False,False,False,False,True,False,0.4798,0,612,High Risk,Manual underwriter review
31,0.3,120000.0,11.4,0,56.3,2,0,51094.0,36,3898.0,0.39,0.426,1419.0,0,True,False,False,False,False,True,False,False,False,False,True,0.4496,0,630,High Risk,Manual underwriter review
60,11.3,120000.0,1.0,1,35.2,1,4,382010.0,36,3726.0,0.373,3.183,10611.0,0,True,False,True,False,True,False,False,False,True,False,False,0.6828,0,490,Very High Risk,Decline
50,2.2,120000.0,2.5,2,39.6,1,0,172076.0,60,2443.0,0.244,1.434,2868.0,0,True,False,False,False,True,False,False,True,False,False,False,0.5466,1,572,Very High Risk,Decline
28,0.2,120000.0,11.9,1,33.7,2,3,85940.0,24,2697.0,0.27,0.716,3581.0,0,True,False,False,False,False,False,False,True,False,False,False,0.4656,1,621,High Risk,Manual underwriter review
51,10.4,120000.0,2.9,3,54.4,2,0,75542.0,24,5249.0,0.525,0.63,3148.0,1,True,False,False,False,True,False,False,False,False,False,False,0.868,0,379,Very High Risk,Decline
27,0.0,120000.0,3.6,1,26.8,2,1,50000.0,24,4562.0,0.456,0.417,2083.0,0,False,True,False,False,False,True,False,False,False,False,False,0.5953,0,543,Very High Risk,Decline
45,3.1,120000.0,11.7,0,23.4,1,0,133063.0,24,3645.0,0.364,1.109,5544.0,0,True,False,False,True,False,False,False,True,False,False,False,0.1744,0,795,Moderate Risk,Approve with conditions (higher rate / lower limit)
29,8.3,120000.0,2.6,0,12.4,2,1,116643.0,36,4984.0,0.498,0.972,3240.0,0,True,False,True,False,True,False,False,False,False,False,True,0.3833,0,670,High Risk,Manual underwriter review
30,4.3,137608.0,4.2,1,47.6,0,0,163740.0,48,1865.0,0.163,1.19,3411.0,0,True,False,False,False,True,False,False,False,False,False,False,0.395,0,663,High Risk,Manual underwriter review
25,0.4,120000.0,5.7,1,12.6,1,2,199129.0,48,1085.0,0.108,1.659,4149.0,0,True,False,False,True,False,True,False,False,False,True,False,0.2381,0,757,Moderate Risk,Approve with conditions (higher rate / lower limit)
30,0.2,120000.0,1.6,2,25.3,1,0,50000.0,24,1234.0,0.123,0.417,2083.0,0,False,False,False,True,False,True,False,False,True,False,False,0.3988,0,661,High Risk,Manual underwriter review
41,2.3,120000.0,5.2,1,33.7,2,0,56846.0,24,2018.0,0.202,0.474,2369.0,0,False,True,True,False,True,False,False,False,False,False,True,0.3829,0,670,High Risk,Manual underwriter review
41,0.4,120000.0,10.1,1,36.5,2,0,156875.0,24,4089.0,0.409,1.307,6536.0,0,False,True,False,False,True,False,True,False,False,False,False,0.4369,0,638,High Risk,Manual underwriter review
55,8.6,120000.0,2.9,1,13.7,1,0,94116.0,12,2903.0,0.29,0.784,7843.0,0,False,True,False,True,False,False,False,False,True,False,False,0.2861,0,728,Moderate Risk,Approve with conditions (higher rate / lower limit)
63,5.1,120000.0,4.8,1,24.6,0,0,154051.0,48,4625.0,0.462,1.284,3209.0,0,False,True,True,False,False,True,False,False,False,False,True,0.4802,0,612,High Risk,Manual underwriter review
53,5.5,120000.0,1.0,0,30.0,0,1,63361.0,36,5452.0,0.545,0.528,1760.0,1,True,False,False,False,True,False,False,False,True,False,False,0.4541,0,628,High Risk,Manual underwriter review
27,2.5,120000.0,2.7,2,14.6,1,1,55814.0,36,5169.0,0.517,0.465,1550.0,1,False,True,False,True,True,False,False,False,False,True,False,0.5856,0,549,Very High Risk,Decline
55,3.4,120000.0,26.2,0,30.9,0,1,227742.0,48,1218.0,0.122,1.898,4745.0,0,True,False,False,True,True,False,False,False,False,False,False,0.0611,0,863,Low Risk,Approve
59,1.3,120000.0,11.2,2,15.6,3,0,90551.0,36,3771.0,0.377,0.755,2515.0,0,False,True,False,True,True,False,False,True,False,False,False,0.3918,0,665,High Risk,Manual underwriter review
49,2.0,120000.0,3.1,1,27.1,1,2,52303.0,60,1857.0,0.186,0.436,872.0,0,False,True,True,False,True,False,False,False,False,True,False,0.401,0,659,High Risk,Manual underwriter review
64,0.9,120000.0,0.6,0,11.3,0,2,131796.0,36,1680.0,0.168,1.098,3661.0,0,True,False,False,False,True,False,False,False,False,True,False,0.1796,0,792,Moderate Risk,Approve with conditions (higher rate / lower limit)
34,2.4,120000.0,9.1,0,44.9,1,1,167425.0,48,500.0,0.05,1.395,3488.0,0,False,True,False,False,True,False,False,True,False,False,False,0.2169,0,770,Moderate Risk,Approve with conditions (higher rate / lower limit)
56,0.3,120000.0,4.2,0,12.9,2,2,80037.0,36,3072.0,0.307,0.667,2223.0,0,False,False,False,False,False,False,False,True,False,False,False,0.2717,0,737,Moderate Risk,Approve with conditions (higher rate / lower limit)
35,8.0,125304.0,13.4,0,33.3,0,0,190360.0,36,5362.0,0.514,1.519,5288.0,1,True,False,False,False,True,False,False,False,False,True,False,0.2811,0,731,Moderate Risk,Approve with conditions (higher rate / lower limit)
39,0.3,120000.0,10.7,0,22.0,1,3,117386.0,48,1034.0,0.103,0.978,2446.0,0,False,True,False,False,True,False,True,False,False,False,False,0.1802,1,792,Moderate Risk,Approve with conditions (higher rate / lower limit)
63,2.3,120000.0,7.3,1,26.3,1,0,128451.0,36,1259.0,0.126,1.07,3568.0,0,True,False,True,False,False,True,False,False,False,True,False,0.2479,0,751,Moderate Risk,Approve with conditions (higher rate / lower limit)
31,2.5,127152.0,2.2,1,22.3,2,0,173006.0,36,3414.0,0.322,1.361,4806.0,0,False,True,False,True,True,False,False,False,True,False,False,0.3931,0,664,High Risk,Manual underwriter review
63,2.7,120000.0,1.5,0,58.7,1,0,50000.0,36,3831.0,0.383,0.417,1389.0,0,False,True,True,False,False,True,False,False,True,False,False,0.5676,0,559,Very High Risk,Decline
38,1.4,120000.0,8.8,1,68.3,0,0,109572.0,36,2720.0,0.272,0.913,3044.0,0,True,False,False,False,True,False,False,False,True,False,False,0.5214,0,587,Very High Risk,Decline
41,5.2,120000.0,24.0,0,74.9,1,1,133022.0,24,2943.0,0.294,1.109,5543.0,0,True,False,False,True,True,False,False,True,False,False,False,0.2802,0,732,Moderate Risk,Approve with conditions (higher rate / lower limit)
32,5.7,120000.0,2.1,0,72.6,0,2,96041.0,36,889.0,0.089,0.8,2668.0,0,False,True,False,False,False,False,False,False,True,False,False,0.5199,0,588,Very High Risk,Decline
60,0.4,120000.0,2.1,1,14.4,1,1,50000.0,36,533.0,0.053,0.417,1389.0,0,True,False,False,False,False,True,False,True,False,False,False,0.2364,1,758,Moderate Risk,Approve with conditions (higher rate / lower limit)
26,2.7,120000.0,0.1,0,35.4,1,1,87812.0,60,2203.0,0.22,0.732,1464.0,0,False,False,True,False,True,False,False,False,False,False,False,0.3325,0,701,High Risk,Manual underwriter review
39,15.4,120000.0,1.2,1,45.7,0,0,168511.0,36,1539.0,0.154,1.404,4681.0,0,True,False,True,False,False,True,False,False,False,False,True,0.4622,0,623,High Risk,Manual underwriter review
35,3.3,120000.0,17.2,1,35.7,3,1,72013.0,36,3675.0,0.368,0.6,2000.0,0,True,False,False,False,True,False,False,False,True,False,False,0.4039,0,658,High Risk,Manual underwriter review
59,10.4,120000.0,0.2,0,54.1,1,2,50000.0,36,997.0,0.1,0.417,1389.0,0,True,False,False,False,False,True,False,False,True,False,False,0.445,1,633,High Risk,Manual underwriter review
34,1.1,120000.0,0.8,2,61.7,1,0,50826.0,24,1876.0,0.188,0.424,2118.0,0,False,True,False,False,False,False,False,True,False,False,False,0.7043,1,477,Very High Risk,Decline
35,1.9,120000.0,1.9,0,14.0,3,0,107084.0,36,2802.0,0.28,0.892,2975.0,0,True,False,False,False,True,False,False,False,True,False,False,0.2443,0,753,Moderate Risk,Approve with conditions (higher rate / lower limit)
22,1.6,120000.0,23.0,1,27.6,2,2,140773.0,24,2452.0,0.245,1.173,5866.0,0,True,False,True,False,False,True,True,False,False,False,False,0.2658,0,741,Moderate Risk,Approve with conditions (higher rate / lower limit)
63,9.9,120000.0,1.3,0,21.3,2,1,62285.0,60,3958.0,0.396,0.519,1038.0,0,True,False,False,False,True,False,False,False,False,False,False,0.3469,0,692,High Risk,Manual underwriter review
53,1.3,120000.0,9.3,2,59.4,0,2,67637.0,36,1215.0,0.122,0.564,1879.0,0,False,True,True,False,True,False,False,False,False,False,False,0.5897,0,546,Very High Risk,Decline
61,0.8,120000.0,0.1,0,67.1,1,1,175427.0,36,1607.0,0.161,1.462,4873.0,0,True,False,False,False,True,False,False,True,False,False,False,0.4566,1,626,High Risk,Manual underwriter review
38,3.4,120000.0,3.7,0,8.1,0,0,176687.0,36,2853.0,0.285,1.472,4908.0,0,False,True,False,False,False,True,False,False,False,True,False,0.1866,0,788,Moderate Risk,Approve with conditions (higher rate / lower limit)
58,12.8,120000.0,1.9,1,61.9,1,2,81468.0,24,4320.0,0.432,0.679,3394.0,0,False,False,False,False,True,False,False,False,True,False,False,0.7563,0,446,Very High Risk,Decline
37,5.9,120000.0,2.8,0,39.4,1,0,84689.0,36,5333.0,0.533,0.706,2352.0,1,False,False,False,False,True,False,False,False,False,False,True,0.4692,1,618,High Risk,Manual underwriter review
24,3.3,120000.0,6.2,2,61.4,2,1,57741.0,48,1797.0,0.18,0.481,1203.0,0,False,True,False,True,False,False,True,False,False,False,False,0.6582,0,505,Very High Risk,Decline
55,2.5,120000.0,4.0,0,62.3,2,0,109070.0,24,3100.0,0.31,0.909,4545.0,0,True,False,True,False,True,False,True,False,False,False,False,0.4532,0,628,High Risk,Manual underwriter review
57,0.5,120000.0,30.0,2,24.8,2,1,56331.0,60,909.0,0.091,0.469,939.0,0,True,False,False,False,False,True,False,False,False,False,True,0.1809,0,791,Moderate Risk,Approve with conditions (higher rate / lower limit)
47,1.8,120000.0,3.0,0,54.7,1,0,50000.0,60,5485.0,0.548,0.417,833.0,1,True,False,False,False,False,False,False,False,False,True,False,0.567,0,560,Very High Risk,Decline
37,0.1,120000.0,9.0,0,77.0,0,4,97486.0,36,3536.0,0.354,0.812,2708.0,1,False,True,False,True,True,False,False,False,False,False,True,0.6332,1,520,Very High Risk,Decline
41,1.2,120000.0,3.8,0,62.1,1,2,162709.0,36,916.0,0.092,1.356,4520.0,0,False,True,True,False,True,False,False,False,False,False,True,0.4343,0,639,High Risk,Manual underwriter review
28,7.7,120000.0,4.3,0,32.5,2,0,113927.0,60,2875.0,0.288,0.949,1899.0,0,True,False,True,False,True,False,False,False,False,False,False,0.3015,0,719,High Risk,Manual underwriter review
32,5.7,120000.0,3.3,0,61.7,0,0,82295.0,24,5467.0,0.547,0.686,3429.0,1,True,False,True,False,True,False,False,False,False,False,False,0.5845,0,549,Very High Risk,Decline
26,6.7,120000.0,1.0,0,4.5,1,0,50000.0,36,1908.0,0.191,0.417,1389.0,0,False,False,False,True,False,True,True,False,False,False,False,0.1358,0,819,Low Risk,Approve
40,6.4,120000.0,10.5,0,77.1,4,1,78496.0,36,2640.0,0.264,0.654,2180.0,1,False,True,False,False,True,False,False,True,False,False,False,0.567,0,560,Very High Risk,Decline
61,3.7,120000.0,7.8,0,38.8,0,1,105239.0,36,1739.0,0.174,0.877,2923.0,0,False,True,False,False,True,False,True,False,False,False,False,0.2174,0,770,Moderate Risk,Approve with conditions (higher rate / lower limit)
32,1.1,120000.0,15.5,0,79.5,0,1,97530.0,24,4886.0,0.489,0.813,4064.0,1,False,True,False,True,False,False,False,False,True,False,False,0.5474,0,572,Very High Risk,Decline
47,3.0,120000.0,8.2,0,37.8,0,0,110581.0,36,2128.0,0.213,0.922,3072.0,0,True,False,False,True,True,False,False,True,False,False,False,0.169,0,799,Moderate Risk,Approve with conditions (higher rate / lower limit)
21,11.2,120000.0,3.1,0,36.2,1,2,50000.0,48,4846.0,0.485,0.417,1042.0,0,False,True,False,True,True,False,False,False,False,False,False,0.4974,0,602,High Risk,Manual underwriter review
46,4.4,120000.0,5.1,1,52.5,2,1,249573.0,36,1869.0,0.187,2.08,6933.0,0,False,True,False,False,False,True,False,False,True,False,False,0.5696,0,558,Very High Risk,Decline
27,8.1,120000.0,13.5,0,6.5,2,0,76908.0,48,1045.0,0.104,0.641,1602.0,0,True,False,False,False,True,False,False,False,False,False,True,0.0828,0,850,Low Risk,Approve
23,3.5,120000.0,4.2,0,38.5,0,2,447052.0,36,3929.0,0.393,3.725,12418.0,0,True,False,False,True,False,False,True,False,False,False,False,0.394,0,664,High Risk,Manual underwriter review
36,9.6,120000.0,8.6,2,37.7,1,0,50000.0,24,2607.0,0.261,0.417,2083.0,0,False,True,False,True,False,True,False,False,True,False,False,0.5119,0,593,Very High Risk,Decline
48,4.7,133136.0,10.6,1,11.4,0,0,97360.0,24,1846.0,0.166,0.731,4057.0,0,True,False,True,False,False,False,False,True,False,False,False,0.1602,0,804,Moderate Risk,Approve with conditions (higher rate / lower limit)
25,4.9,120000.0,2.2,0,78.1,1,1,72988.0,24,2572.0,0.257,0.608,3041.0,1,False,False,True,False,True,False,True,False,False,False,False,0.5718,0,557,Very High Risk,Decline
24,12.0,120000.0,7.5,2,19.2,1,0,294059.0,36,5115.0,0.511,2.45,8168.0,1,False,True,False,False,False,True,True,False,False,False,False,0.6003,0,540,Very High Risk,Decline
52,0.3,120000.0,8.2,0,32.2,1,1,110210.0,60,1295.0,0.13,0.918,1837.0,0,False,True,False,True,False,False,False,True,False,False,False,0.1792,0,793,Moderate Risk,Approve with conditions (higher rate / lower limit)
36,10.5,120000.0,10.8,1,46.1,1,0,623770.0,60,4751.0,0.475,5.198,10396.0,0,True,False,True,False,False,False,True,False,False,False,False,0.5532,0,568,Very High Risk,Decline
57,5.3,120000.0,5.8,1,57.0,3,1,82154.0,36,3754.0,0.375,0.685,2282.0,0,False,True,True,False,False,True,False,True,False,False,False,0.712,1,473,Very High Risk,Decline
43,5.2,120000.0,0.4,0,69.7,2,2,85323.0,48,5151.0,0.515,0.711,1778.0,1,False,True,False,False,True,False,False,False,False,False,True,0.7777,1,433,Very High Risk,Decline
42,23.1,120000.0,6.6,2,28.0,1,0,50000.0,24,1605.0,0.16,0.417,2083.0,0,True,False,False,False,False,True,False,False,False,True,False,0.4333,0,640,High Risk,Manual underwriter review
62,7.7,120000.0,26.7,0,28.6,2,1,128823.0,36,1420.0,0.142,1.074,3578.0,0,True,False,True,False,True,False,False,False,True,False,False,0.0915,0,845,Low Risk,Approve
45,9.5,120000.0,7.1,1,50.8,0,0,75263.0,36,4447.0,0.445,0.627,2091.0,0,True,False,True,False,True,False,False,True,False,False,False,0.5482,0,571,Very High Risk,Decline
32,0.4,120000.0,2.2,1,39.4,1,1,128422.0,36,1539.0,0.154,1.07,3567.0,0,False,True,False,False,True,False,False,False,False,True,False,0.4258,0,645,High Risk,Manual underwriter review
31,1.1,120000.0,0.2,1,19.2,2,1,208094.0,24,3177.0,0.318,1.734,8671.0,0,True,False,False,False,True,False,False,False,True,False,False,0.4469,0,632,High Risk,Manual underwriter review
44,5.5,120000.0,4.8,1,30.1,3,0,167595.0,36,3681.0,0.368,1.397,4655.0,0,True,False,False,True,False,True,False,False,False,False,True,0.4647,1,621,High Risk,Manual underwriter review
23,0.4,120000.0,18.7,3,48.6,2,2,95937.0,60,3880.0,0.388,0.799,1599.0,1,True,False,False,False,True,False,False,False,False,False,True,0.7407,0,456,Very High Risk,Decline
54,10.8,120000.0,1.3,1,24.0,2,0,76186.0,24,3770.0,0.377,0.635,3174.0,0,True,False,False,True,False,True,False,True,False,False,False,0.4384,0,637,High Risk,Manual underwriter review
41,2.5,120000.0,22.1,2,59.3,2,1,50000.0,60,4434.0,0.443,0.417,833.0,0,True,False,False,True,False,False,False,False,False,False,True,0.6112,1,533,Very High Risk,Decline
32,12.3,120000.0,13.4,0,27.2,3,0,121846.0,48,3995.0,0.4,1.015,2538.0,0,True,False,False,False,False,False,False,False,False,False,True,0.2868,0,728,Moderate Risk,Approve with conditions (higher rate / lower limit)
62,10.0,120000.0,0.4,0,48.6,0,0,127112.0,48,4394.0,0.439,1.059,2648.0,0,True,False,False,False,True,False,False,False,False,False,False,0.4586,0,625,High Risk,Manual underwriter review
64,11.8,120000.0,5.3,1,22.3,1,0,63739.0,12,2959.0,0.296,0.531,5312.0,0,False,False,False,False,False,False,False,False,False,True,False,0.316,0,710,High Risk,Manual underwriter review
27,2.9,120000.0,1.4,0,38.4,0,1,50000.0,60,3315.0,0.332,0.417,833.0,0,True,False,False,False,True,False,False,False,False,True,False,0.3719,0,677,High Risk,Manual underwriter review
23,1.3,120000.0,30.0,1,21.6,2,1,85429.0,36,1709.0,0.171,0.712,2373.0,0,True,False,False,False,False,False,False,False,False,True,False,0.1242,0,825,Low Risk,Approve
30,5.1,120000.0,1.5,0,14.8,1,1,50000.0,48,4716.0,0.472,0.417,1042.0,0,False,False,False,True,False,True,False,True,False,False,False,0.3389,0,697,High Risk,Manual underwriter review
41,2.9,120000.0,2.7,0,85.0,0,0,163834.0,24,3589.0,0.359,1.365,6826.0,1,False,True,True,False,False,True,False,True,False,False,False,0.661,1,503,Very High Risk,Decline
45,0.2,120000.0,2.7,0,32.8,3,1,64395.0,48,5165.0,0.516,0.537,1342.0,1,False,False,False,False,False,False,False,False,False,True,False,0.5063,0,596,Very High Risk,Decline
62,0.3,120000.0,28.1,1,19.6,0,2,69460.0,36,2879.0,0.288,0.579,1929.0,0,True,False,False,False,True,False,False,False,False,False,False,0.14,0,816,Low Risk,Approve
41,0.5,120000.0,5.1,1,29.6,0,0,192045.0,60,1974.0,0.197,1.6,3201.0,0,True,False,False,False,True,False,False,False,False,True,False,0.278,0,733,Moderate Risk,Approve with conditions (higher rate / lower limit)
58,17.3,120000.0,11.0,0,88.4,2,1,105854.0,48,2962.0,0.296,0.882,2205.0,1,False,True,False,False,False,True,False,False,True,False,False,0.6513,0,509,Very High Risk,Decline
41,14.8,120000.0,3.1,2,78.3,1,1,50000.0,60,4032.0,0.403,0.417,833.0,1,False,True,False,False,True,False,False,True,False,False,False,0.8635,1,382,Very High Risk,Decline
56,2.4,120000.0,0.9,0,62.9,0,0,180094.0,60,1765.0,0.176,1.501,3002.0,0,True,False,False,False,True,False,False,True,False,False,False,0.3713,0,677,High Risk,Manual underwriter review
43,2.6,120000.0,18.8,0,28.8,1,4,140624.0,36,2094.0,0.209,1.172,3906.0,0,True,False,False,False,True,False,True,False,False,False,False,0.2013,0,779,Moderate Risk,Approve with conditions (higher rate / lower limit)
42,0.3,120000.0,3.6,0,37.7,2,0,213676.0,36,4858.0,0.486,1.781,5935.0,0,True,False,False,False,False,True,False,False,False,True,False,0.4712,1,617,High Risk,Manual underwriter review
28,4.9,120000.0,14.7,1,26.3,1,1,53059.0,60,4954.0,0.495,0.442,884.0,0,False,True,False,False,True,False,False,False,False,True,False,0.4201,0,648,High Risk,Manual underwriter review
33,3.5,120000.0,4.2,0,38.5,0,0,106477.0,36,1890.0,0.189,0.887,2958.0,0,True,False,True,False,True,False,False,False,False,False,False,0.2335,0,760,Moderate Risk,Approve with conditions (higher rate / lower limit)
48,5.1,120000.0,13.4,2,38.3,2,1,80912.0,48,707.0,0.071,0.674,1686.0,0,False,True,False,True,True,False,False,False,False,False,True,0.352,0,689,High Risk,Manual underwriter review
58,2.2,120000.0,2.2,1,75.0,0,2,51749.0,36,3223.0,0.322,0.431,1437.0,0,True,False,False,False,True,False,False,True,False,False,False,0.7261,0,464,Very High Risk,Decline
62,15.7,120000.0,4.4,1,61.1,2,0,136046.0,36,4872.0,0.487,1.134,3779.0,0,True,False,False,True,False,True,False,False,False,False,True,0.7034,1,478,Very High Risk,Decline
48,6.2,120000.0,4.3,0,29.5,2,1,123411.0,36,2803.0,0.28,1.028,3428.0,0,True,False,True,False,False,False,False,True,False,False,False,0.3254,0,705,High Risk,Manual underwriter review
